"ID","Player","Team","Position","Prim Pos","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","W","GAA","SV%","SHO"
"*0322w*","Ilya Sorokin","NYI","G","G","1","TommyG10","30","8,000,000","BID","100","94%","-1%","52","28","2.65",".909","7"
"*03zul*","Filip Gustavsson","MIN","G","G","2","TommyG10","27","6,500,000","BID","90.07","98%","-1%","48","28","2.59",".909","4"
"*02b3y*","John Gibson","DET","G","G","3","nebsnave","32","1,500,000","BID","89.75","83%","-2%","53","28","2.62",".904","4"
"*02nom*","Andrei Vasilevskiy","TBL","G","G","4","nebsnave","31","10,100,000","BID","88.06","97%","-1%","54","37","2.31",".912","2"
"*0457k*","Jake Oettinger","DAL","G","G","5","mcianfra","27","11,000,000","BID","85.9","98%","-1%","50","31","2.61",".900","3"
"*04qzc*","Joel Hofer","STL","G","G","6","BHHC","25","1,000,000","FA","85.79","59%","0%","41","20","2.58",".910","6"
"*03rih*","Karel Vejmelka","UTA","G","G","7","SPG","29","3,600,000","BID","84.82","93%","-2%","59","35","2.71",".898","2"
"*01zs1*","Scott Wedgewood","COL","G","G","8","HeatDady","33","1,000,000","FA","84.47","85%","-1%","42","28","2.13",".918","3"
"*04mdc*","Logan Thompson","WSH","G","G","9","btsay45","29","4,700,000","BID","83.65","96%","-1%","55","28","2.52",".910","2"
"*04f24*","Jeremy Swayman","BOS","G","G","10","Wags8210","27","2,700,000","BID","81.02","90%","-1%","52","30","2.70",".908","1"
"*01ud1*","Sergei Bobrovsky","FLA","G","G","11","Gavitron","37","9,600,000","BID","79.82","89%","-1%","51","27","3.05",".878","4"
"*05xct*","Jet Greaves","CBJ","G","G","12","btsay45","25","0","MNR","78.71","81%","-1%","50","24","2.58",".909","2"
"*04bii*","Spencer Knight","CHI","G","G","13","sweinste","24","6,500,000","BID","78.62","83%","-1%","51","18","2.71",".908","3"
"*04yg5*","Jesper Wallstedt","MIN","G","G","14","CHKY","23","0","MNR","77.48","77%","-2%","32","16","2.67",".914","4"
"*051wf*","Dustin Wolf","CGY","G","G","15","CHKY","24","10,100,000","BID","75.47","88%","-2%","54","22","3.09",".895","2"
"*03nqi*","Alex Lyon","BUF","G","G","16","nbracken","33","1,000,000","FA","74.91","58%","-4%","36","20","2.77",".907","3"
"*03ece*","Igor Shesterkin","NYR","G","G","17","HeatDady","30","12,200,000","BID","74.7","92%","-1%","49","24","2.54",".912","1"
"*0222k*","Darcy Kuemper","LAK","G","G","18","mertin","35","4,100,000","BID","73.26","85%","-1%","49","19","2.76",".892","3"
