"ID","Player","Team","Position","Prim Pos","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","Pt-D","G","A","2G+A","PIM","SOG","STP","Hit","Blk","TK/GV","Cor"
"*04lc0*","Evan Bouchard","EDM","D","D","1","nebsnave","26","11,600,000","BID","100","99%","-1%","77","88","21","67","109","28","215","33","29","94","0.28","323"
"*04alw*","Cale Makar","COL","D","D","3","SPG","27","15,800,000","BID","96.72","99%","-1%","73","75","20","55","95","24","192","29","35","118","0.48","257"
"*02un4*","Connor McDavid","EDM","F","F","4","mertin","29","17,400,000","BID","95.34","99%","-1%","77","0","43","83","169","38","285","50","39","29","0.22","236"
"*02f9l*","Nathan MacKinnon","COL","F","F","5","Wags8210","30","16,200,000","BID","94","99%","-1%","74","0","51","71","173","35","327","29","60","34","0.15","461"
"*04zb4*","Moritz Seider","DET","D","D","6","BHHC","24","9,900,000","BID","92.83","98%","-1%","77","54","9","45","63","55","177","24","120","167","0.28","194"
"*03mqg*","Jakob Chychrun","WSH","D","D","7","BHHC","28","5,700,000","BID","92.62","97%","-1%","76","59","25","34","84","57","214","17","56","107","0.40","162"
"*04ad7*","Rasmus Dahlin","BUF","D","D","8","mcianfra","25","14,300,000","BID","92.61","98%","-1%","73","69","18","51","87","74","188","22","65","77","0.26","91"
"*03ra7*","Zach Werenski","CBJ","D","D","9","btsay45","28","15,000,000","BID","90.89","99%","-1%","70","78","21","57","99","16","234","21","30","86","0.30","191"
"*02b70*","Nikita Kucherov","TBL","F","F","10","BHHC","32","15,200,000","BID","90.6","99%","-1%","70","0","42","83","167","48","218","37","35","27","0.16","283"
"*03d12*","David Pastrnak","BOS","F","F","12","btsay45","29","12,500,000","BID","89.87","99%","-1%","73","0","29","68","126","70","252","33","82","29","0.24","-7"
"*05w9c*","Macklin Celebrini","SJS","F","F","14","SPG","19","10,500,000","BID","89.17","99%","-1%","75","0","41","65","147","40","265","31","48","47","0.29","-25"
"*051z0*","Tim Stutzle","OTT","F","F","15","mcianfra","24","13,300,000","BID","88.64","99%","-1%","77","0","33","46","112","35","185","29","125","42","0.37","206"
"*05wwg*","Lane Hutson","MTL","D","D","16","TommyG10","22","10,600,000","BID","88.42","99%","-1%","77","74","12","62","86","32","121","19","28","127","0.44","201"
