"ID","Player","Team","Position","Prim Pos","Rookie","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","W","GAA","SV%","SHO"
"*0322w*","Ilya Sorokin","NYI","G","G","","1","TommyG10","31","8,000,000","BID","100","98%","0%","55","29","2.68",".906","7"
"*04mdc*","Logan Thompson","WSH","G","G","","2","btsay45","29","4,700,000","BID","94.69","99%","0%","58","31","2.44",".912","4"
"*01zs1*","Scott Wedgewood","COL","G","G","","3","BHHC","34","2,700,000","BID","92.5","95%","+1%","45","31","2.02",".921","4"
"*0457k*","Jake Oettinger","DAL","G","G","","4","mcianfra","27","11,000,000","BID","90.27","99%","0%","54","35","2.59",".899","4"
"*02b3y*","John Gibson","DET","G","G","","5","M.M","33","1,000,000","FA","89.47","73%","0%","57","29","2.72",".901","4"
"*04qzc*","Joel Hofer","STL","G","G","","6","nbracken","26","3,600,000","BID","89.03","84%","-2%","46","24","2.61",".910","6"
"*02nom*","Andrei Vasilevskiy","TBL","G","G","","7","nebsnave","32","10,100,000","BID","88.39","99%","0%","58","39","2.31",".912","2"
"*03zul*","Filip Gustavsson","MIN","G","G","","8","TommyG10","28","6,500,000","BID","87.96","73%","-4%","50","28","2.69",".904","4"
"*04f24*","Jeremy Swayman","BOS","G","G","","9","Wags8210","27","2,700,000","BID","85.41","97%","0%","55","31","2.71",".908","2"
"*03rih*","Karel Vejmelka","UTA","G","G","","10","SPG","30","3,600,000","BID","85.01","99%","0%","64","38","2.75",".897","2"
"*05xct*","Jet Greaves","CBJ","G","G","","11","btsay45","25","1,500,000","ELC1","80.33","92%","-1%","55","26","2.60",".908","2"
"*02oar*","Linus Ullmark","OTT","G","G","","12","nbracken","33","8,100,000","BID","78.63","81%","-1%","49","28","2.73",".891","3"
"*01ud1*","Sergei Bobrovsky","TOR","G","G","","13","M.M","38","9,600,000","BID","78.32","91%","0%","52","27","3.07",".877","4"
"*04yg5*","Jesper Wallstedt","MIN","G","G","","14","ROO","23","0","MNR","78.11","98%","0%","35","18","2.61",".916","4"
"*04bii*","Spencer Knight","CHI","G","G","","15","CGN","25","6,500,000","BID","77.8","87%","-2%","55","19","2.82",".902","3"
"*051wf*","Dustin Wolf","CGY","G","G","","16","ROO","25","10,100,000","BID","76.41","80%","-2%","57","23","3.01",".899","2"
"*03ece*","Igor Shesterkin","NYR","G","G","","17","PuckLuck","30","12,200,000","BID","75.43","93%","0%","51","25","2.50",".912","1"
"*04yla*","Brandon Bussi","CAR","G","G","","18","mertin","28","2,200,000","BID","74.79","98%","+1%","39","31","2.47",".895","2"
"*03mbn*","Mackenzie Blackwood","COL","G","G","","19","mertin","29","6,600,000","BID","73.55","93%","-1%","39","23","2.51",".904","3"
"*03nqi*","Alex Lyon","BUF","G","G","","20","nbracken","33","1,000,000","FA","73.38","41%","-3%","36","20","2.77",".907","3"
"*031pl*","Juuse Saros","NSH","G","G","","21","SPG","31","1,500,000","BID","71.58","91%","0%","59","28","3.16",".894","0"
"*0222k*","Darcy Kuemper","LAK","G","G","","22","mertin","36","4,100,000","BID","71.55","62%","-3%","50","19","2.78",".891","3"
"*03rfo*","Daniel Vladar","PHI","G","G","","23","SPG","29","4,050,000","BID","71.23","84%","-3%","52","29","2.42",".906","0"
"*03jw0*","Joey Daccord","SEA","G","G","","24","TommyG10","30","1,350,000","BID","70.61","63%","-2%","47","20","3.03",".897","2"
"*04qyv*","Lukas Dostal","ANA","G","G","","25","BULLIES","26","4,200,000","BID","70.24","94%","-1%","56","30","3.10",".888","0"
"*03yxp*","Stuart Skinner","WPG","G","G","","26","btsay45","27","3,300,000","BID","70.16","48%","0%","50","23","2.92",".888","2"
"*02h6c*","Anton Forsberg","LAK","G","G","","27","FA","33","1,000,000","FA","70.13","29%","-2%","36","16","2.57",".910","3"
"*05oxs*","Jakub Dobes","MTL","G","G","","28","nebsnave","25","2,300,000","BID","69.67","99%","0%","43","29","2.78",".901","0"
