"ID","Player","Team","Position","Prim Pos","Rookie","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","W","GAA","SV%","SHO"
"*02nom*","Andrei Vasilevskiy","TBL","G","G","","1","nebsnave","32","10,100,000","BID","100","99%","0%","60","38","2.34",".918","5"
"*0322w*","Ilya Sorokin","NYI","G","G","","2","TommyG10","31","8,000,000","BID","99.71","98%","0%","55","31","2.76",".905","6"
"*02o7s*","Connor Hellebuyck","WPG","G","G","","3","ROO","33","13,300,000","BID","89.09","97%","0%","60","27","2.71",".902","4"
"*0457k*","Jake Oettinger","DAL","G","G","","4","mcianfra","27","11,000,000","BID","86.86","99%","0%","56","36","2.62",".902","3"
"*04mdc*","Logan Thompson","WSH","G","G","","5","btsay45","29","4,700,000","BID","86.36","99%","0%","56","29","2.48",".911","3"
"*04f24*","Jeremy Swayman","BOS","G","G","","6","Wags8210","27","2,700,000","BID","84.8","97%","0%","53","29","2.80",".905","3"
"*03rih*","Karel Vejmelka","UTA","G","G","","7","SPG","30","3,600,000","BID","81.11","99%","0%","62","33","2.78",".897","2"
"*04yla*","Brandon Bussi","CAR","G","G","","8","mertin","28","2,200,000","BID","79.13","98%","+1%","52","34","2.46",".894","3"
"*02b3y*","John Gibson","DET","G","G","","9","M.M","33","1,000,000","FA","78.65","73%","0%","51","26","2.71",".901","3"
"*061i2*","Sergei Murashov","PIT","G","G","R","10","BHHC","22","0","MNR","78.37","68%","-2%","47","25","2.82",".903","3"
"*01zs1*","Scott Wedgewood","COL","G","G","","11","BHHC","34","2,700,000","BID","78.32","95%","+1%","44","27","2.67",".905","3"
"*01ud1*","Sergei Bobrovsky","TOR","G","G","","12","M.M","38","9,600,000","BID","78","91%","0%","47","24","2.95",".893","4"
"*03ece*","Igor Shesterkin","NYR","G","G","","13","PuckLuck","30","12,200,000","BID","77.56","93%","0%","50","24","2.59",".910","2"
"*04yg5*","Jesper Wallstedt","MIN","G","G","","14","ROO","23","0","MNR","76.93","98%","0%","36","18","2.65",".914","4"
"*04qzc*","Joel Hofer","STL","G","G","","15","nbracken","26","3,600,000","BID","76.88","84%","-2%","44","23","3.15",".901","3"
"*03ynu*","Carter Hart","VGK","G","G","","16","CGN","28","1,000,000","BID","76.73","88%","+1%","50","25","2.67",".892","4"
"*04bii*","Spencer Knight","CHI","G","G","","17","CGN","25","6,500,000","BID","76.65","87%","-2%","54","20","2.85",".902","3"
"*031pl*","Juuse Saros","NSH","G","G","","18","SPG","31","1,500,000","BID","75.67","91%","0%","60","29","3.12",".895","1"
"*01d6c*","Jacob Markstrom","FLA","G","G","","19","mcianfra","36","2,800,000","BID","74.59","94%","+1%","50","27","2.95",".889","3"
"*03mbn*","Mackenzie Blackwood","COL","G","G","","20","mertin","29","6,600,000","BID","74.09","93%","-1%","42","23","2.67",".903","3"
"*05xct*","Jet Greaves","CBJ","G","G","","21","btsay45","25","1,500,000","ELC1","73.55","92%","-1%","46","23","2.83",".904","2"
"*051wf*","Dustin Wolf","CGY","G","G","","22","ROO","25","10,100,000","BID","73.27","80%","-2%","54","22","2.99",".900","2"
"*016kv*","Jake Allen","NJD","G","G","","23","PuckLuck","36","1,000,000","FA","73.19","62%","+1%","48","25","2.90",".900","2"
"*03jw0*","Joey Daccord","SEA","G","G","","24","TommyG10","30","1,350,000","BID","72.74","63%","-2%","41","19","3.20",".910","2"
"*0222k*","Darcy Kuemper","LAK","G","G","","25","mertin","36","4,100,000","BID","72.56","62%","-3%","50","22","2.67",".896","3"
"*0457i*","Ukko-Pekka Luukkonen","BUF","G","G","","26","mcianfra","27","1,200,000","BID","71.04","82%","-1%","40","24","2.66",".905","2"
"*02oar*","Linus Ullmark","OTT","G","G","","27","nbracken","33","8,100,000","BID","69.8","81%","-1%","45","21","2.73",".896","3"
"*0529k*","Yaroslav Askarov","SJS","G","G","","28","M.M","24","1,500,000","ELC1","68.12","92%","-1%","45","24","2.96",".909","0"
"*04ai3*","Kevin Lankinen","VAN","G","G","","29","FA","31","1,000,000","FA","66.42","32%","+2%","47","15","3.14",".910","1"
"*03rfo*","Daniel Vladar","PHI","G","G","","30","SPG","29","4,050,000","BID","66.17","84%","-3%","50","27","2.49",".904","0"
"*03zul*","Filip Gustavsson","MIN","G","G","","31","TommyG10","28","6,500,000","BID","66.13","73%","-4%","35","22","2.72",".905","2"
"*04qyv*","Lukas Dostal","ANA","G","G","","32","BULLIES","26","4,200,000","BID","65.86","94%","-1%","55","27","3.15",".891","0"
"*02fda*","Jordan Binnington","STL","G","G","","33","BULLIES","33","5,900,000","BID","63.29","42%","-2%","46","16","3.06",".902","1"
"*02h6c*","Anton Forsberg","LAK","G","G","","34","FA","33","1,000,000","FA","63.2","29%","-2%","39","16","2.62",".908","2"
"*05oxs*","Jakub Dobes","MTL","G","G","","35","nebsnave","25","2,300,000","BID","63.1","99%","0%","40","26","2.79",".902","0"
"*051v4*","Arturs Silovs","PIT","G","G","","36","BHHC","25","1,500,000","ELC1","61.96","50%","-4%","39","16","3.08",".899","2"
"*04r01*","Akira Schmid","FLA","G","G","","37","FA","26","1,000,000","FA","61.85","39%","-3%","42","20","3.00",".893","2"
"*04yi4*","Pyotr Kochetkov","CAR","G","G","","38","FA","27","1,000,000","FA","61.23","60%","-2%","36","20","2.42",".903","2"
"*01zry*","Frederik Andersen","EDM","G","G","","39","FA","36","1,000,000","FA","60.69","53%","-2%","37","17","2.92",".899","2"
"*03nqi*","Alex Lyon","BUF","G","G","","40","nbracken","33","1,000,000","FA","59.45","41%","-3%","32","17","2.83",".905","2"
"*03as7*","Thatcher Demko","VAN","G","G","","41","FA","30","1,000,000","FA","59.45","38%","-4%","36","14","2.91",".894","3"
"*042w1*","Joseph Woll","PHI","G","G","","42","FA","28","1,000,000","FA","58.58","43%","-1%","32","15","3.22",".901","2"
"*039sy*","Alex Nedeljkovic","SJS","G","G","","43","FA","30","1,000,000","FA","57.17","27%","-1%","40","16","3.16",".906","0"
"*01zs7*","Philipp Grubauer","SEA","G","G","","44","FA","34","1,000,000","FA","55.71","21%","-1%","35","13","3.11",".911","0"
"*02np7*","Anthony Stolarz","TOR","G","G","","45","CGN","32","4,600,000","BID","55.13","35%","-3%","33","16","3.07",".893","2"
"*03mkm*","Adin Hill","VGK","G","G","","46","BHHC","30","4,200,000","BID","53.95","35%","-3%","36","17","2.63",".899","1"
"*03xme*","Charlie Lindgren","WSH","G","G","","47","FA","32","1,000,000","FA","51.47","17%","-1%","28","14","3.24",".887","2"
"*068yz*","Jacob Fowler","MTL","G","G","R","48","TommyG10","21","0","MNR","51.27","67%","-3%","29","10","2.86",".903","2"
"*02ycf*","Casey DeSmith","DAL","G","G","","49","FA","35","1,000,000","FA","50","24%","0%","29","14","2.54",".905","1"
"*03ygn*","David Rittich","NJD","G","G","","50","FA","34","1,000,000","FA","49.69","11%","-1%","26","11","3.27",".895","2"
"*04zc8*","Devin Cooley","CGY","G","G","","51","FA","29","1,000,000","FA","48.63","23%","-3%","34","11","2.78",".908","0"
"*03ar6*","Ville Husso","ANA","G","G","","52","FA","31","1,000,000","FA","48.51","11%","-1%","29","15","2.87",".905","0"
"*04r06*","Samuel Ersson","OTT","G","G","","53","FA","26","1,000,000","FA","47.95","16%","-2%","33","13","3.11",".900","0"
"*04an1*","Daniil Tarasov","DET","G","G","","54","FA","27","1,000,000","FA","47.64","18%","-2%","37","13","3.13",".895","0"
"*05o01*","Sebastian Cossa","UTA","G","G","","55","CGN","23","0","MNR","47.58","50%","-4%","27","12","3.00",".901","1"
"*060us*","Dennis Hildeby","TBL","G","G","","56","FA","25","1,000,000","FA","46.99","30%","-4%","28","11","3.05",".901","1"
"*03yxp*","Stuart Skinner","WPG","G","G","","57","btsay45","27","3,300,000","BID","46.62","48%","0%","25","13","2.97",".895","1"
"*05rbj*","Arvid Soderblom","CHI","G","G","","58","FA","27","1,000,000","FA","45.8","10%","-1%","30","9","3.26",".895","1"
"*02npn*","Joonas Korpisalo","NYR","G","G","","59","FA","32","1,000,000","FA","45.12","12%","-2%","28","11","3.18",".893","1"
"*02yjw*","Tristan Jarry","EDM","G","G","","60","FA","31","1,000,000","FA","44.76","36%","-1%","26","13","3.30",".885","1"
"*04qyd*","Justus Annunen","NSH","G","G","","61","FA","26","1,000,000","FA","44.19","19%","-2%","30","11","3.09",".888","1"
"*05mwh*","Devon Levi","EDM","G","G","","62","nebsnave","24","1,000,000","FA","42.7","50%","-3%","25","12","3.00",".899","0"
"*04mjq*","Colten Ellis","BUF","G","G","","63","FA","25","1,000,000","FA","39.62","19%","-2%","16","8","2.91",".903","1"
"*03rfp*","Sam Montembeault","MTL","G","G","","64","Wags8210","29","4,100,000","BID","37.79","19%","-2%","19","6","3.23",".886","1"
"*03y7l*","Michael DiPietro","BOS","G","G","","65","FA","27","1,000,000","FA","36.92","23%","-2%","17","8","2.63",".910","0"
"*03ebi*","Elvis Merzlikins","CBJ","G","G","","66","FA","32","1,000,000","FA","36.86","15%","-2%","12","6","3.02",".894","1"
"*01t68*","Cam Talbot","CBJ","G","G","","67","FA","39","1,000,000","FA","36.3","9%","0%","22","8","3.04",".892","0"
"*05ws3*","Niklas Kokko","SEA","G","G","","68","CGN","22","0","MNR","36.07","22%","-3%","15","4","3.12",".915","0"
"*04f7o*","Jiri Patera","BOS","G","G","","69","FA","27","1,000,000","FA","34.8","6%","-1%","15","5","3.26",".904","0"
"*01zs3*","Calvin Pickard","MIN","G","G","","70","FA","34","1,000,000","FA","34.78","7%","0%","18","6","3.29",".896","0"
"*03eap*","Vitek Vanecek","NYI","G","G","","71","FA","30","1,000,000","FA","34.43","8%","-1%","12","4","3.15",".887","1"
"*01zrw*","Petr Mrazek","(N/A)","G","G","","72","FA","34","1,000,000","FA","34.16","4%","-1%","23","6","3.49",".887","0"
"*059mt*","Nicolas Daws","NJD","G","G","","73","FA","25","1,000,000","FA","31.42","28%","-2%","16","4","3.38",".886","0"
"*03bw6*","Pheonix Copley","CBJ","G","G","","74","FA","34","1,000,000","FA","31.11","3%","-1%","10","4","2.99",".903","0"
"*004qi*","Semyon Varlamov","NYI","G","G","","75","FA","38","1,000,000","FA","30.29","7%","-1%","21","12","3.14",".000","0"
"*05lud*","Dylan Garand","NYR","G","G","","76","TommyG10","24","0","MNR","29.59","18%","-2%","9","3","3.07",".901","0"
"*051w5*","Trent Miner","COL","G","G","","77","FA","25","1,000,000","FA","29.55","13%","-2%","3","1","2.76",".916","1"
"*05k7t*","Drew Commesso","CHI","G","G","","78","nbracken","24","0","MNR","29.53","26%","-3%","3","2","2.49",".910","1"
"*0055l*","James Reimer","(N/A)","G","G","","79","FA","38","1,000,000","FA","28.65","1%","0%","9","3","2.59",".894","0"
"*02nq8*","Matt Murray","(N/A)","G","G","","80","FA","32","1,000,000","FA","28.43","2%","0%","12","0","2.34",".918","0"
"*03eb6*","Jonas Johansson","TBL","G","G","","81","FA","31","1,000,000","FA","28.34","7%","-2%","7","3","3.32",".894","0"
"*05nik*","Artur Akhtyamov","TOR","G","G","","82","nbracken","24","0","MNR","27.16","25%","-4%","9","1","3.37",".884","0"
"*02ycp*","Eric Comrie","SJS","G","G","","83","FA","31","1,000,000","FA","27.13","7%","-1%","5","2","3.00",".908","0"
"*06agl*","Nikita Tolopilo","VAN","G","G","","84","FA","26","1,000,000","FA","26.82","11%","-2%","8","2","3.63",".881","0"
"*05oxl*","Leevi Merilainen","VAN","G","G","","85","FA","24","1,000,000","FA","26.51","21%","-3%","11","2","3.36",".867","0"
"*02fnj*","Laurent Brossoit","ANA","G","G","","86","FA","33","1,000,000","FA","25.89","4%","0%","4","2","2.79",".897","0"
"*031ok*","Spencer Martin","NYR","G","G","","87","FA","31","1,000,000","FA","25.58","2%","0%","8","2","3.95",".866","0"
"*060fz*","Clay Stevenson","WSH","G","G","","88","FA","27","1,000,000","FA","24.06","9%","-1%","2","1","2.68",".921","0"
"*05r8v*","Alexei Kolosov","PHI","G","G","","89","FA","24","1,000,000","FA","23.75","12%","-2%","7","1","3.87",".852","0"
