"ID","Player","Team","Position","Prim Pos","Rookie","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","Pt-D","G","A","2G+A","PIM","SOG","STP","Hit","Blk","Tk","Cor"
"*04lc0*","Evan Bouchard","EDM","D","D","","2","nebsnave","26","11,600,000","BID","100","100%","0%","82","95","21","74","116","30","221","35","29","101","33","341"
"*04zb4*","Moritz Seider","DET","D","D","","3","BHHC","25","9,900,000","BID","95.7","100%","0%","82","60","10","50","70","57","187","28","128","180","29","173"
"*04alw*","Cale Makar","COL","D","D","","4","SPG","27","15,800,000","BID","95.66","100%","0%","75","79","20","59","99","24","199","29","35","118","40","270"
"*02un4*","Connor McDavid","EDM","F","F","","5","mertin","29","17,400,000","BID","95.04","100%","0%","82","0","48","90","186","44","306","56","40","30","32","264"
"*04ad7*","Rasmus Dahlin","BUF","D","D","","8","mcianfra","26","14,300,000","BID","92.48","100%","0%","77","74","19","55","93","76","194","22","67","79","32","89"
"*03mqg*","Jakob Chychrun","WSH","D","D","","9","BHHC","28","5,700,000","BID","92.4","99%","0%","80","60","26","34","86","62","221","18","58","114","40","161"
"*02f9l*","Nathan MacKinnon","COL","F","F","","10","Wags8210","31","16,200,000","BID","92.21","100%","0%","80","0","53","74","180","39","350","30","64","35","25","485"
"*03ra7*","Zach Werenski","CBJ","D","D","","11","btsay45","29","15,000,000","BID","91.65","100%","0%","75","81","22","59","103","18","260","22","30","94","35","231"
"*03klz*","Darren Raddysh","TOR","D","D","","12","Wags8210","30","6,300,000","BID","91.37","99%","0%","73","70","22","48","92","72","212","26","67","69","14","374"
"*05w9c*","Macklin Celebrini","SJS","F","F","","14","SPG","20","10,500,000","BID","89.97","100%","0%","82","0","45","70","160","44","287","33","53","53","41","-16"
"*02b70*","Nikita Kucherov","TBL","F","F","","15","BHHC","33","15,200,000","BID","89.7","100%","0%","76","0","44","86","174","50","231","38","36","29","21","312"
"*05wwg*","Lane Hutson","MTL","D","D","","18","TommyG10","22","10,600,000","BID","89.02","100%","0%","82","78","12","66","90","34","124","20","31","137","43","226"
"*04lbz*","Quinn Hughes","MIN","D","D","","21","Wags8210","26","14,900,000","BID","87.48","100%","0%","74","76","7","69","83","32","187","34","7","87","34","260"
"*051z0*","Tim Stutzle","OTT","F","F","","22","mcianfra","24","13,300,000","BID","87.32","100%","0%","80","0","34","49","117","39","194","31","126","44","34","216"
"*02fzm*","Filip Forsberg","NSH","F","F","","23","mertin","32","7,000,000","BID","86.75","99%","0%","82","0","40","35","115","34","246","26","124","33","48","116"
"*048xc*","Nick Suzuki","MTL","F","F","","24","TommyG10","27","6,000,000","BID","86.2","100%","0%","82","0","29","72","130","28","183","44","62","62","29","176"
"*03d12*","David Pastrnak","BOS","F","F","","25","btsay45","30","12,500,000","BID","85.93","100%","0%","77","0","29","71","129","72","261","33","86","32","32","-42"
"*051m4*","Jackson LaCombe","ANA","D","D","","26","M.M","25","4,100,000","BID","85.72","99%","0%","82","58","10","48","68","19","157","19","74","128","52","203"
"*03yg3*","Mikhail Sergachev","UTA","D","D","","28","nbracken","28","8,000,000","BID","85.22","99%","0%","78","59","10","49","69","44","159","28","38","125","32","153"
"*04xec*","Matt Boldy","MIN","F","F","","30","mertin","25","10,500,000","BID","84.95","100%","0%","76","0","42","43","127","30","254","34","60","58","34","76"
"*048vf*","Andrei Svechnikov","CAR","F","F","","31","mcianfra","26","3,500,000","BID","84.43","99%","0%","79","0","31","39","101","66","203","29","148","16","23","484"
