"ID","Player","Team","Position","Prim Pos","Rookie","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","Pt-D","G","A","2G+A","PIM","SOG","STP","Hit","Blk","Tk","Cor"
"*04lc0*","Evan Bouchard","EDM","D","D","","1","nebsnave","26","11,600,000","BID","100","100%","0%","84","92","20","72","112","32","228","35","35","106","0","0"
"*04alw*","Cale Makar","COL","D","D","","4","SPG","27","15,800,000","BID","98.37","100%","0%","78","84","23","61","107","23","214","32","39","126","0","0"
"*04zb4*","Moritz Seider","DET","D","D","","5","BHHC","25","9,900,000","BID","96.6","100%","0%","81","56","10","46","66","53","176","26","148","180","0","0"
"*02un4*","Connor McDavid","EDM","F","F","","6","mertin","29","17,400,000","BID","96.49","100%","0%","82","0","44","91","179","43","292","53","49","31","0","0"
"*04ad7*","Rasmus Dahlin","BUF","D","D","","7","mcianfra","26","14,300,000","BID","96.22","100%","0%","79","69","18","51","87","74","205","21","86","91","0","0"
"*02f9l*","Nathan MacKinnon","COL","F","F","","8","Wags8210","31","16,200,000","BID","95.6","100%","0%","82","0","51","80","182","40","361","33","61","43","0","0"
"*03d12*","David Pastrnak","BOS","F","F","","9","btsay45","30","12,500,000","BID","95","100%","0%","80","0","34","70","138","67","289","32","83","31","0","0"
"*02b70*","Nikita Kucherov","TBL","F","F","","10","BHHC","33","15,200,000","BID","94.67","100%","0%","79","0","44","90","178","48","250","42","36","32","0","0"
"*05w9c*","Macklin Celebrini","SJS","F","F","","11","SPG","20","10,500,000","BID","93.63","100%","0%","83","0","43","68","154","42","286","32","52","54","0","0"
"*03ra7*","Zach Werenski","CBJ","D","D","","12","btsay45","29","15,000,000","BID","93.33","100%","0%","77","81","22","59","103","22","266","22","29","107","0","0"
"*03mqg*","Jakob Chychrun","WSH","D","D","","13","BHHC","28","5,700,000","BID","93","99%","0%","81","59","25","34","84","62","218","19","61","117","0","0"
"*04kyh*","Brady Tkachuk","FLA","F","F","","14","nebsnave","27","13,600,000","BID","92.8","100%","0%","76","0","30","37","97","99","290","24","219","26","0","0"
"*03uzr*","Matthew Tkachuk","FLA","F","F","","15","nbracken","28","10,800,000","BID","91.36","100%","0%","78","0","28","52","108","92","234","35","99","20","0","0"
"*042w4*","Adam Fox","NYR","D","D","","16","ROO","28","11,300,000","BID","90.55","100%","0%","77","76","14","62","90","32","133","33","37","110","0","0"
"*04dwj*","Jason Robertson","DAL","F","F","","17","PuckLuck","27","7,500,000","BID","90.22","100%","0%","84","0","43","51","137","30","283","38","54","37","0","0"
"*04lbz*","Quinn Hughes","MIN","D","D","","18","Wags8210","26","14,900,000","BID","90.2","100%","0%","76","80","9","71","89","33","194","36","10","83","0","0"
"*02fzm*","Filip Forsberg","NSH","F","F","","19","mertin","32","7,000,000","BID","89.8","99%","0%","84","0","41","39","121","38","268","26","133","38","0","0"
"*048xc*","Nick Suzuki","MTL","F","F","","20","TommyG10","27","6,000,000","BID","89.61","100%","0%","84","0","31","69","131","27","186","41","65","65","0","0"
"*03klz*","Darren Raddysh","TOR","D","D","","21","Wags8210","30","6,300,000","BID","89.59","99%","0%","76","64","19","45","83","52","190","22","66","75","0","0"
"*051z0*","Tim Stutzle","OTT","F","F","","22","mcianfra","24","13,300,000","BID","89.26","100%","0%","82","0","33","51","117","40","194","32","128","45","0","0"
"*06gk0*","Matthew Schaefer","NYI","D","D","","24","TommyG10","19","1,500,000","ELC1","89.07","100%","0%","83","61","24","37","85","39","224","18","41","113","0","0"
"*031p0*","Jake Guentzel","TBL","F","F","","25","nbracken","31","8,100,000","BID","89","100%","0%","82","0","39","50","128","53","226","34","39","43","0","0"
"*02yjl*","Leon Draisaitl","EDM","F","F","","26","ROO","30","14,900,000","BID","88.34","100%","0%","70","0","39","64","142","34","203","43","36","18","0","0"
"*02noj*","Tom Wilson","WSH","F","F","","27","mertin","32","6,990,000","BID","88.22","96%","0%","75","0","31","32","94","119","161","15","197","59","0","0"
"*04xec*","Matt Boldy","MIN","F","F","","28","mertin","25","10,500,000","BID","88.14","100%","0%","79","0","40","44","124","37","261","31","57","58","0","0"
"*05tqt*","Wyatt Johnston","DAL","F","F","","29","TommyG10","23","9,100,000","BID","87.79","100%","0%","84","0","43","41","127","31","212","37","55","53","0","0"
"*03wpm*","Charlie McAvoy","BOS","D","D","","30","CGN","28","9,200,000","BID","87.26","98%","0%","69","55","10","45","65","65","114","19","90","128","0","0"
"*03mn9*","Mikko Rantanen","DAL","F","F","","31","mertin","29","12,000,000","BID","87.12","100%","0%","70","0","27","56","110","86","167","35","49","36","0","0"
"*031v6*","MacKenzie Weegar","UTA","D","D","","32","Wags8210","32","9,000,000","BID","86.92","92%","0%","81","34","6","28","40","78","169","11","181","184","0","0"
"*03e1n*","Adrian Kempe","LAK","F","F","","34","BHHC","30","8,900,000","BID","86.7","97%","0%","83","0","36","40","112","57","237","17","124","38","0","0"
"*042t5*","Tage Thompson","BUF","F","F","","35","nebsnave","28","7,800,000","BID","86.69","100%","0%","81","0","41","39","121","36","271","24","85","45","0","0"
"*05r1c*","Juraj Slafkovsky","MTL","F","F","","36","mcianfra","22","4,200,000","BID","86.38","100%","0%","84","0","29","41","99","53","174","25","126","77","0","0"
"*02azb*","Mark Scheifele","WPG","F","F","","38","SPG","33","6,100,000","BID","86.34","100%","0%","83","0","37","64","138","48","177","23","42","49","0","0"
"*01fx3*","Roman Josi","NSH","D","D","","39","SPG","36","3,400,000","BID","86.06","98%","0%","73","59","14","45","73","34","202","24","32","114","0","0"
"*049k7*","Martin Necas","COL","F","F","","40","SPG","27","6,100,000","BID","86.01","100%","0%","81","0","36","59","131","30","212","26","83","27","0","0"
"*00qru*","Steven Stamkos","NSH","F","F","","41","M.M","36","3,500,000","BID","85.32","94%","0%","84","0","41","27","109","55","212","27","87","39","0","0"
